Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
21,1685030207929,25/05/2023 15:56:47,1685033807929,1,25/05/2023 17:56:47,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,8,Training01,Training01,34efq7,1,response,PHAITU,1450.6379999999917,3918.3899999999994,3926.429000001488,1450.6379999999917,3918.3899999999994,3926.429000001488,1,1450.6379999999917,2475.7910000014963,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,PHAI,_01.png,_02.png,,PHAI_TU_01.png,PHAI_TU_02.png,PHAITU,,,,,,,,,,,,,,,,,,
22,1685030212979,25/05/2023 15:56:52,1685033812979,1,25/05/2023 17:56:52,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,9,Training01,Training01,34efq7,1,response,SNURTA,1017.1140000000014,5038.789999999994,5055.463999999993,1017.1140000000014,5038.789999999994,5055.463999999993,1,1017.1140000000014,4038.3499999999913,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,SNUR,_01.png,_02.png,,SNUR_TA_01.png,SNUR_TA_02.png,SNURTA,,,,,,,,,,,,,,,,,,
23,1685030216425,25/05/2023 15:56:56,1685033816425,1,25/05/2023 17:56:56,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,10,Training01,Training01,34efq7,1,response,STOOI,1083.8099999999977,3451.518000000011,3464.94900000075,1083.8099999999977,3451.518000000011,3464.94900000075,0,1083.8099999999977,2381.1390000007523,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,STOO,_01.png,_02.png,,STOO_TI_01.png,STOO_TI_02.png,STOOTI,,,,,,,,,,,,,,,,,,
24,1685030221586,25/05/2023 15:57:01,1685033821586,1,25/05/2023 17:57:01,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,10,Training01,Training01,34efq7,1,response,STOOTI,1083.8099999999977,8620.457999999999,8624.94900000075,1083.8099999999977,8620.457999999999,8624.94900000075,1,1083.8099999999977,7541.139000000752,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,STOO,_01.png,_02.png,,STOO_TI_01.png,STOO_TI_02.png,STOOTI,,,,,,,,,,,,,,,,,,
25,1685030228060,25/05/2023 15:57:08,1685033828060,1,25/05/2023 17:57:08,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,11,Training01,Training01,34efq7,1,response,CHORTI,1824.2510000000038,6476.297000000006,6478.991000000751,1824.2510000000038,6476.297000000006,6478.991000000751,1,1824.2510000000038,4654.740000000747,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,CHOR,_01.png,_02.png,,CHOR_TI_01.png,CHOR_TI_02.png,CHORTI,,,,,,,,,,,,,,,,,,
26,1685030231375,25/05/2023 15:57:11,1685033831375,1,25/05/2023 17:57:11,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,12,Training01,Training01,34efq7,1,response,DREETA,1250.550000000003,3301.452000000005,3316.9940000014903,1250.550000000003,3301.452000000005,3316.9940000014903,1,1250.550000000003,2066.4440000014874,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,DREE,_01.png,_02.png,,DREE_TA_01.png,DREE_TA_02.png,DREETA,,,,,,,,,,,,,,,,,,
27,1685030236106,25/05/2023 15:57:16,1685033836106,1,25/05/2023 17:57:16,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,13,Training01,Training01,34efq7,1,response,PHAITA,1169.7309999999998,4737.96699999999,4747.14199999925,1169.7309999999998,4737.96699999999,4747.14199999925,1,1169.7309999999998,3577.4109999992506,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,PHAI,_01.png,_02.png,,PHAI_TA_01.png,PHAI_TA_02.png,PHAITA,,,,,,,,,,,,,,,,,,
28,1685030239478,25/05/2023 15:57:19,1685033839478,1,25/05/2023 17:57:19,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,14,Training01,Training01,34efq7,1,response,STOOTU,900.3960000000079,3368.148000000001,3380.275000000751,900.3960000000079,3368.148000000001,3380.275000000751,1,900.3960000000079,2479.879000000743,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,STOO,_01.png,_02.png,,STOO_TU_01.png,STOO_TU_02.png,STOOTU,,,,,,,,,,,,,,,,,,
29,1685030244562,25/05/2023 15:57:24,1685033844562,1,25/05/2023 17:57:24,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,15,Training01,Training01,34efq7,1,response,SNURTI,883.7220000000088,5088.350000000006,5096.62700000075,883.7220000000088,5088.350000000006,5096.62700000075,1,883.7220000000088,4212.905000000741,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,SNUR,_01.png,_02.png,,SNUR_TI_01.png,SNUR_TI_02.png,SNURTI,,,,,,,,,,,,,,,,,,
30,1685030247655,25/05/2023 15:57:27,1685033847655,1,25/05/2023 17:57:27,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,16,Training01,Training01,34efq7,1,response,DREETU,1100.4839999999967,3084.6900000000023,3100.777000000744,1100.4839999999967,3084.6900000000023,3100.777000000744,1,1100.4839999999967,2000.2930000007473,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,DREE,_01.png,_02.png,,DREE_TU_01.png,DREE_TU_02.png,DREETU,,,,,,,,,,,,,,,,,,
