Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
2,1685030698049,25/05/2023 16:04:58,1685034298049,1,25/05/2023 18:04:58,128616,14,task-58je,,29725789,BLIND,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2014.3630000000005,1998.0200000000002,2014.3630000000005,2014.3630000000005,1998.0200000000002,2014.3630000000005,1,2014.3630000000005,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685030698053,25/05/2023 16:04:58,1685034298053,1,25/05/2023 18:04:58,128616,14,task-58je,,29725789,BLIND,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685030751557,25/05/2023 16:05:51,1685034351557,1,25/05/2023 18:05:51,128616,14,task-58je,,29725810,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685030782088,25/05/2023 16:06:22,1685034382088,1,25/05/2023 18:06:22,128616,14,task-58je,,29725810,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,End Screen,2,Singular-Dual,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,31444,31428,31444,31444,31428,31444,1,31444,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685030782095,25/05/2023 16:06:22,1685034382095,1,25/05/2023 18:06:22,128616,14,task-58je,,29725810,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685030801932,25/05/2023 16:06:41,1685034401932,1,25/05/2023 18:06:41,128616,14,task-58je,,29725819,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685030804014,25/05/2023 16:06:44,1685034404014,1,25/05/2023 18:06:44,128616,14,task-58je,,29725819,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2100.924,2084.25,2100.924,2100.924,2084.25,2100.924,1,2100.924,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685030804015,25/05/2023 16:06:44,1685034404015,1,25/05/2023 18:06:44,128616,14,task-58je,,29725819,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685030844225,25/05/2023 16:07:24,1685034444225,1,25/05/2023 18:07:24,128616,14,task-58je,,29725842,BLIND,8844159,,complete,,646f93c23477414a6fca259e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1440x900,1440x789,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685030846202,25/05/2023 16:07:26,1685034446202,1,25/05/2023 18:07:26,128616,14,task-58je,,29725842,BLIND,8844159,,complete,,646f93c23477414a6fca259e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1440x900,1440x789,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,1989.8369999523163,1983.2540000000001,1989.8369999523163,1989.8369999523163,1983.2540000000001,1989.8369999523163,1,1989.8369999523163,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685030846204,25/05/2023 16:07:26,1685034446204,1,25/05/2023 18:07:26,128616,14,task-58je,,29725842,BLIND,8844159,,complete,,646f93c23477414a6fca259e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1440x900,1440x789,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685031159098,25/05/2023 16:12:39,1685034759098,1,25/05/2023 18:12:39,128616,14,task-58je,,29725985,BLIND,8844192,,complete,,646f94e7680f6cf0efe01802,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1463x823,1463x672,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
