Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
21,1685030505780,25/05/2023 16:01:45,1685034105780,1,25/05/2023 18:01:45,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,19,Training,Training,34efq7,1,response,PAUKE BLART!,1217.2019999999902,8904.535999999993,8911.097000000736,1217.2019999999902,8904.535999999993,8911.097000000736,0,1217.2019999999902,7693.895000000746,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KE,BLAR,_01.png,_02.png,,,,,,,,PAU_KE_BLAR_TI_01.png,PAU_KE_BLAR_TI_02.png,PAUKE BLARTI!,,,,,,,,,
22,1685030515021,25/05/2023 16:01:55,1685034115021,1,25/05/2023 18:01:55,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,19,Training,Training,34efq7,1,response,PAUKE BLARTI!,1217.2019999999902,18144.736999999994,18151.79699999999,1217.2019999999902,18144.736999999994,18151.79699999999,1,1217.2019999999902,16934.595,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KE,BLAR,_01.png,_02.png,,,,,,,,PAU_KE_BLAR_TI_01.png,PAU_KE_BLAR_TI_02.png,PAUKE BLARTI!,,,,,,,,,
23,1685030524368,25/05/2023 16:02:04,1685034124368,1,25/05/2023 18:02:04,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,20,Training,Training,34efq7,1,response,PAUKO STOOTA!,2734.535999999993,9340.649000000005,9353.259999999253,2734.535999999993,9340.649000000005,9353.259999999253,1,2734.535999999993,6618.72399999926,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KO,STOO,_01.png,_02.png,,,,,,,,PAU_KO_STOO_TA_01.png,PAU_KO_STOO_TA_02.png,PAUKO STOOTA!,,,,,,,,,
24,1685030532726,25/05/2023 16:02:12,1685034132726,1,25/05/2023 18:02:12,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,21,Training,Training,34efq7,1,response,GOIKE PHAITI!,1817.4659999999858,8353.673999999999,8370.347999999998,1817.4659999999858,8353.673999999999,8370.347999999998,1,1817.4659999999858,6552.882000000012,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,GOI,_,KE,PHAI,_01.png,_02.png,,,,,,,,GOI_KE_PHAI_TI_01.png,GOI_KE_PHAI_TI_02.png,GOIKE PHAITI!,,,,,,,,,
25,1685030546792,25/05/2023 16:02:26,1685034146792,1,25/05/2023 18:02:26,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,22,Training,Training,34efq7,1,response,PAUKE SNURTU!,1148.725999999995,14072.783999999985,14083.037000000739,1148.725999999995,14072.783999999985,14083.037000000739,1,1148.725999999995,12934.311000000744,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KE,SNUR,_01.png,_02.png,,,,,,,,PAU_KE_SNUR_TU_01.png,PAU_KE_SNUR_TU_02.png,PAUKE SNURTU!,,,,,,,,,
26,1685030554801,25/05/2023 16:02:34,1685034154801,1,25/05/2023 18:02:34,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,23,Training,Training,34efq7,1,response,GOIKE CHORTU!,1367.268000000011,8004.860000000015,8018.253000000754,1367.268000000011,8004.860000000015,8018.253000000754,1,1367.268000000011,6650.985000000743,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,GOI,_,KE,CHOR,_01.png,_02.png,,,,,,,,GOI_KE_CHOR_TU_01.png,GOI_KE_CHOR_TU_02.png,GOIKE CHORTU!,,,,,,,,,
27,1685030562167,25/05/2023 16:02:42,1685034162167,1,25/05/2023 18:02:42,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,24,Training,Training,34efq7,1,response,GOIKO DREETA!,1550.6820000000007,7369.907999999996,7379.5929999999935,1550.6820000000007,7369.907999999996,7379.5929999999935,1,1550.6820000000007,5828.910999999993,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,GOI,_,KO,DREE,_01.png,_02.png,,,,,,,,GOI_KO_DREE_TA_01.png,GOI_KO_DREE_TA_02.png,GOIKO DREETA!,,,,,,,,,
28,1685030574199,25/05/2023 16:02:54,1685034174199,1,25/05/2023 18:02:54,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,25,Training,Training,34efq7,1,response,PAUKO SNURTA!,1417.289999999979,12034.146999999997,12041.684999999998,1417.289999999979,12034.146999999997,12041.684999999998,1,1417.289999999979,10624.395000000019,0,,Single Text Entry,TextTraining02,4,object-97,Training,,5, ,PAU,_,KO,SNUR,_01.png,_02.png,,,,,,,,PAU_KO_SNUR_TA_01.png,PAU_KO_SNUR_TA_02.png,PAUKO SNURTA!,,,,,,,,,
29,1685030584045,25/05/2023 16:03:04,1685034184045,1,25/05/2023 18:03:04,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,26,Training,Training,34efq7,1,response,PAUKE DREETI!,1673.6599999999744,9843.919999999984,9853.237999999255,1673.6599999999744,9843.919999999984,9853.237999999255,1,1673.6599999999744,8179.577999999281,0,,Single Text Entry,TextTraining02,4,object-97,Training,,5, ,PAU,_,KE,DREE,_01.png,_02.png,,,,,,,,PAU_KE_DREE_TI_01.png,PAU_KE_DREE_TI_02.png,PAUKE DREETI!,,,,,,,,,
30,1685030590775,25/05/2023 16:03:10,1685034190775,1,25/05/2023 18:03:10,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,27,Training,Training,34efq7,1,response,GOIKE STOOTI!,1332.8589999999967,6735.235000000044,6738.717999997782,1332.8589999999967,6735.235000000044,6738.717999997782,1,1332.8589999999967,5405.858999997785,0,,Single Text Entry,TextTraining02,4,object-97,Training,,5, ,GOI,_,KE,STOO,_01.png,_02.png,,,,,,,,GOI_KE_STOO_TI_01.png,GOI_KE_STOO_TI_02.png,GOIKE STOOTI!,,,,,,,,,
