Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
21,1686658572151,13/06/2023 12:16:12,1686662172151,1,13/06/2023 14:16:12,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,17,Training,Training,34efq7,1,response,GOIKE BLARTI!,2786.100000000006,9709.640000000014,9726.320000000007,2786.100000000006,9709.640000000014,9726.320000000007,1,2786.100000000006,6940.220000000001,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KE,BLAR,_01.png,_02.png,,,,,,,,GOI_KE_BLAR_TI_01.png,GOI_KE_BLAR_TI_02.png,GOIKE BLARTI!,,,,,,,,,
22,1686658580804,13/06/2023 12:16:20,1686662180804,1,13/06/2023 14:16:20,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,18,Training,Training,34efq7,1,response,PAUKE PHAITI!,2002,8658.579999999987,8670.679999999993,2002,8658.579999999987,8670.679999999993,1,2002,6668.679999999993,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,PAU,_,KE,PHAI,_01.png,_02.png,,,,,,,,PAU_KE_PHAI_TI_01.png,PAU_KE_PHAI_TI_02.png,PAUKE PHAITI!,,,,,,,,,
23,1686658590378,13/06/2023 12:16:30,1686662190378,1,13/06/2023 14:16:30,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,19,Training,Training,34efq7,1,response,GOIKO CHORTU!,2619.279999999999,9576.160000000003,9586.100000000006,2619.279999999999,9576.160000000003,9586.100000000006,1,2619.279999999999,6966.820000000007,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,GOI,_,KO,CHOR,_01.png,_02.png,,,,,,,,GOI_KO_CHOR_TU_01.png,GOI_KO_CHOR_TU_02.png,GOIKO CHORTU!,,,,,,,,,
24,1686658598243,13/06/2023 12:16:38,1686662198243,1,13/06/2023 14:16:38,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,20,Training,Training,34efq7,1,response,GOIKE DREETA!,2719.3800000000047,7857.820000000007,7873.940000000002,2719.3800000000047,7857.820000000007,7873.940000000002,1,2719.3800000000047,5154.559999999998,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,GOI,_,KE,DREE,_01.png,_02.png,,,,,,,,GOI_KE_DREE_TA_01.png,GOI_KE_DREE_TA_02.png,GOIKE DREETA!,,,,,,,,,
25,1686658609548,13/06/2023 12:16:49,1686662209548,1,13/06/2023 14:16:49,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,21,Training,Training,34efq7,1,response,PAUKE STOOTA!,4354.3399999999965,11311.220000000001,11321.119999999995,4354.3399999999965,11311.220000000001,11321.119999999995,1,4354.3399999999965,6966.779999999999,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KE,STOO,_01.png,_02.png,,,,,,,,PAU_KE_STOO_TA_01.png,PAU_KE_STOO_TA_02.png,PAUKE STOOTA!,,,,,,,,,
26,1686658618999,13/06/2023 12:16:58,1686662218999,1,13/06/2023 14:16:58,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,22,Training,Training,34efq7,1,response,PAUKE BLARTI!,5405.359999999986,9459.380000000005,9461.899999999994,5405.359999999986,9459.380000000005,9461.899999999994,1,5405.359999999986,4056.540000000008,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KE,BLAR,_01.png,_02.png,,,,,,,,PAU_KE_BLAR_TI_01.png,PAU_KE_BLAR_TI_02.png,PAUKE BLARTI!,,,,,,,,,
27,1686658625463,13/06/2023 12:17:05,1686662225463,1,13/06/2023 14:17:05,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,23,Training,Training,34efq7,1,response,GOIKE PHAITI!,1751.7399999999907,6456.399999999994,6466.5199999999895,1751.7399999999907,6456.399999999994,6466.5199999999895,1,1751.7399999999907,4714.779999999999,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,GOI,_,KE,PHAI,_01.png,_02.png,,,,,,,,GOI_KE_PHAI_TI_01.png,GOI_KE_PHAI_TI_02.png,GOIKE PHAITI!,,,,,,,,,
28,1686658633647,13/06/2023 12:17:13,1686662233647,1,13/06/2023 14:17:13,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,24,Training,Training,34efq7,1,response,PAUKO SNURTU!,2085.399999999994,8191.479999999981,8194.119999999995,2085.399999999994,8191.479999999981,8194.119999999995,1,2085.399999999994,6108.720000000001,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KO,SNUR,_01.png,_02.png,,,,,,,,PAU_KO_SNUR_TU_01.png,PAU_KO_SNUR_TU_02.png,PAUKO SNURTU!,,,,,,,,,
29,1686658641211,13/06/2023 12:17:21,1686662241211,1,13/06/2023 14:17:21,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,25,Training,Training,34efq7,1,response,GOIKE CHORTA!,4170.8000000000175,7557.5,7566.640000000014,4170.8000000000175,7557.5,7566.640000000014,1,4170.8000000000175,3395.8399999999965,0,,Single Text Entry,TextTraining02,4,object-97,Training,,5, ,GOI,_,KE,CHOR,_01.png,_02.png,,,,,,,,GOI_KE_CHOR_TA_01.png,GOI_KE_CHOR_TA_02.png,GOIKE CHORTA!,,,,,,,,,
30,1686658653183,13/06/2023 12:17:33,1686662253183,1,13/06/2023 14:17:33,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,26,Training,Training,34efq7,1,response,PAUKE SNURTA!,3303.280000000028,11978.540000000008,11981.140000000014,3303.280000000028,11978.540000000008,11981.140000000014,1,3303.280000000028,8677.859999999986,0,,Single Text Entry,TextTraining02,4,object-97,Training,,5, ,PAU,_,KE,SNUR,_01.png,_02.png,,,,,,,,PAU_KE_SNUR_TA_01.png,PAU_KE_SNUR_TA_02.png,PAUKE SNURTA!,,,,,,,,,
31,1686658665296,13/06/2023 12:17:45,1686662265296,1,13/06/2023 14:17:45,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,27,Training,Training,34efq7,1,response,PAUKO PHAITU!,5038.3000000000175,12112.01999999999,12115.600000000006,5038.3000000000175,12112.01999999999,12115.600000000006,1,5038.3000000000175,7077.299999999988,0,,Single Text Entry,TextTraining02,4,object-97,Training,,5, ,PAU,_,KO,PHAI,_01.png,_02.png,,,,,,,,PAU_KO_PHAI_TU_01.png,PAU_KO_PHAI_TU_02.png,PAUKO PHAITU!,,,,,,,,,
