Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
4,1686659414492,13/06/2023 12:30:14,1686663014492,1,13/06/2023 14:30:14,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,2,Testing02,Testing 02,hvzr65,1,response,SNUR_TA_02.png,6512.0740000000005,6506.493000000002,6512.0740000000005,6512.0740000000005,6506.493000000002,6512.0740000000005,1,6512.0740000000005,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TA,SNUR,_01.png,_02.png,,,,,SNUR_TA_01.png,SNUR_TA_02.png,SNUR_TU_02.png,,,,,,,,,SNUR_TA_02.png,,,
5,1686659418598,13/06/2023 12:30:18,1686663018598,1,13/06/2023 14:30:18,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,3,Testing02,Testing 02,hvzr65,1,response,CHOR_TI_02.png,4112.180999994038,4104.089,4112.180999994038,4112.180999994038,4104.089,4112.180999994038,1,4112.180999994038,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TI,CHOR,_01.png,_02.png,,,,,CHOR_TI_01.png,CHOR_TU_02.png,CHOR_TI_02.png,,,,,,,,,CHOR_TI_02.png,,,
6,1686659423267,13/06/2023 12:30:23,1686663023267,1,13/06/2023 14:30:23,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,4,Testing02,Testing 02,hvzr65,1,response,PHAI_TA_02.png,4676.192000002979,4671.362999999998,4676.192000002979,4676.192000002979,4671.362999999998,4676.192000002979,0,4676.192000002979,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TI,PHAI,_01.png,_02.png,,,,,PHAI_TI_01.png,PHAI_TI_02.png,PHAI_TA_02.png,,,,,,,,,PHAI_TI_02.png,,,
7,1686659425507,13/06/2023 12:30:25,1686663025507,1,13/06/2023 14:30:25,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,5,Testing02,Testing 02,hvzr65,1,response,DREE_TA_02.png,2245.4289999970206,2235.573000000004,2245.4289999970206,2245.4289999970206,2235.573000000004,2245.4289999970206,1,2245.4289999970206,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TA,DREE,_01.png,_02.png,,,,,DREE_TA_01.png,DREE_TI_02.png,DREE_TA_02.png,,,,,,,,,DREE_TA_02.png,,,
8,1686659428217,13/06/2023 12:30:28,1686663028217,1,13/06/2023 14:30:28,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,6,Testing02,Testing 02,hvzr65,1,response,STOO_TU_02.png,2719.354999999996,2702.686999999998,2719.354999999996,2719.354999999996,2702.686999999998,2719.354999999996,1,2719.354999999996,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TU,STOO,_01.png,_02.png,,,,,STOO_TU_01.png,STOO_TA_02.png,STOO_TU_02.png,,,,,,,,,STOO_TU_02.png,,,
9,1686659430568,13/06/2023 12:30:30,1686663030568,1,13/06/2023 14:30:30,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,7,Testing02,Testing 02,hvzr65,1,response,STOO_TI_02.png,2367.9689999940383,2352.3280000000013,2367.9689999940383,2367.9689999940383,2352.3280000000013,2367.9689999940383,1,2367.9689999940383,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TI,STOO,_01.png,_02.png,,,,,STOO_TI_01.png,STOO_TI_02.png,STOO_TU_02.png,,,,,,,,,STOO_TI_02.png,,,
10,1686659433718,13/06/2023 12:30:33,1686663033718,1,13/06/2023 14:30:33,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,8,Testing02,Testing 02,hvzr65,1,response,BLAR_TA_02.png,3165.7410000029777,3153.1859999999942,3165.7410000029777,3165.7410000029777,3153.1859999999942,3165.7410000029777,1,3165.7410000029777,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TA,BLAR,_01.png,_02.png,,,,,BLAR_TA_01.png,BLAR_TU_02.png,BLAR_TA_02.png,,,,,,,,,BLAR_TA_02.png,,,
11,1686659444946,13/06/2023 12:30:44,1686663044946,1,13/06/2023 14:30:44,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,9,Testing02,Testing 02,hvzr65,1,response,SNUR_TA_02.png,11240.555000002983,11227.878000000004,11240.555000002983,11240.555000002983,11227.878000000004,11240.555000002983,0,11240.555000002983,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TI,SNUR,_01.png,_02.png,,,,,SNUR_TI_01.png,SNUR_TA_02.png,SNUR_TI_02.png,,,,,,,,,SNUR_TI_02.png,,,
12,1686659458525,13/06/2023 12:30:58,1686663058525,1,13/06/2023 14:30:58,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,10,Testing02,Testing 02,hvzr65,1,response,DREE_TU_02.png,13591.576999994038,13580.25,13591.576999994038,13591.576999994038,13580.25,13591.576999994038,1,13591.576999994038,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TU,DREE,_01.png,_02.png,,,,,DREE_TU_01.png,DREE_TU_02.png,DREE_TA_02.png,,,,,,,,,DREE_TU_02.png,,,
13,1686659461699,13/06/2023 12:31:01,1686663061699,1,13/06/2023 14:31:01,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,11,Testing02,Testing 02,hvzr65,1,response,PHAI_TU_02.png,3184.5269999970187,3169.8239999999932,3184.5269999970187,3184.5269999970187,3169.8239999999932,3184.5269999970187,1,3184.5269999970187,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TU,PHAI,_01.png,_02.png,,,,,PHAI_TU_01.png,PHAI_TI_02.png,PHAI_TU_02.png,,,,,,,,,PHAI_TU_02.png,,,
