Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
9,1685030985629,25/05/2023 16:09:45,1685034585629,1,25/05/2023 18:09:45,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,7,Testing,Testing,hvzr65,1,response,GOI_KE_CHOR_TA_02.png,977.3289999999979,974.9850000000006,977.3289999999979,977.3289999999979,974.9850000000006,977.3289999999979,0,977.3289999999979,0,0,,Click Response,ResponseB,4,object-85,Testing,,2, ,GOI,_,KE,CHOR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_CHOR_BLOT.png,GOI_KE_CHOR_TU_02.png,GOI_KE_CHOR_TA_02.png,,GOI_KE_CHOR_TU_02.png,,,
10,1685030986755,25/05/2023 16:09:46,1685034586755,1,25/05/2023 18:09:46,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,8,Testing,Testing,hvzr65,1,response,PAU_KO_SNUR_TU_02.png,1128.7439999761555,1124.9959999999992,1128.7439999761555,1128.7439999761555,1124.9959999999992,1128.7439999761555,0,1128.7439999761555,0,0,,Click Response,ResponseB,4,object-85,Testing,,2, ,PAU,_,KO,SNUR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KO_SNUR_BLOT.png,PAU_KO_SNUR_TI_02.png,PAU_KO_SNUR_TU_02.png,,PAU_KO_SNUR_TI_02.png,,,
11,1685030988591,25/05/2023 16:09:48,1685034588591,1,25/05/2023 18:09:48,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,9,Testing,Testing,hvzr65,1,response,GOI_KE_STOO_TA_02.png,1839.8479999999981,1837.4919999999984,1839.8479999999981,1839.8479999999981,1837.4919999999984,1839.8479999999981,1,1839.8479999999981,0,0,,Click Response,ResponseB,4,object-85,Testing,,2, ,GOI,_,KE,STOO,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_STOO_BLOT.png,GOI_KE_STOO_TU_02.png,GOI_KE_STOO_TA_02.png,,GOI_KE_STOO_TA_02.png,,,
12,1685030998455,25/05/2023 16:09:58,1685034598455,1,25/05/2023 18:09:58,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,10,Testing,Testing,hvzr65,1,response,PAU_KE_BLAR_TI_02.png,3545.330999952319,3541.635000000002,3545.330999952319,3545.330999952319,3541.635000000002,3545.330999952319,0,3545.330999952319,0,0,,Click Response,ResponseB,4,object-85,Testing,,2, ,PAU,_,KE,BLAR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_BLAR_BLOT.png,PAU_KE_BLAR_TA_02.png,PAU_KE_BLAR_TI_02.png,,PAU_KE_BLAR_TA_02.png,,,
13,1685030999969,25/05/2023 16:09:59,1685034599969,1,25/05/2023 18:09:59,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,11,Testing,Testing,hvzr65,1,response,PAU_KE_DREE_TU_02.png,1517.595999928475,1516.6359999999986,1517.595999928475,1517.595999928475,1516.6359999999986,1517.595999928475,1,1517.595999928475,0,0,,Click Response,ResponseB,4,object-85,Testing,,2, ,PAU,_,KE,DREE,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_DREE_BLOT.png,PAU_KE_DREE_TI_02.png,PAU_KE_DREE_TU_02.png,,PAU_KE_DREE_TU_02.png,,,
14,1685031001653,25/05/2023 16:10:01,1685034601653,1,25/05/2023 18:10:01,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,12,Testing,Testing,hvzr65,1,response,GOI_KO_PHAI_TA_02.png,1684.6599999761602,1683.3970000000045,1684.6599999761602,1684.6599999761602,1683.3970000000045,1684.6599999761602,0,1684.6599999761602,0,0,,Click Response,ResponseA,3,object-86,Testing,,2, ,GOI,_,KO,PHAI,,_02.png,_BLOT.png,,,,,,,,,,GOI_KO_PHAI_BLOT.png,GOI_KO_PHAI_TA_02.png,GOI_KO_PHAI_TI_02.png,,GOI_KO_PHAI_TI_02.png,,,
15,1685031003664,25/05/2023 16:10:03,1685034603664,1,25/05/2023 18:10:03,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,13,Testing,Testing,hvzr65,1,response,GOI_KE_BLAR_TA_02.png,2013.062999928472,2012.4330000000045,2013.062999928472,2013.062999928472,2012.4330000000045,2013.062999928472,0,2013.062999928472,0,0,,Click Response,ResponseA,3,object-86,Testing,,3, ,GOI,_,KE,BLAR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_BLAR_BLOT.png,GOI_KE_BLAR_TA_02.png,GOI_KE_BLAR_TU_02.png,,GOI_KE_BLAR_TU_02.png,,,
16,1685031004630,25/05/2023 16:10:04,1685034604630,1,25/05/2023 18:10:04,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,14,Testing,Testing,hvzr65,1,response,GOI_KE_SNUR_TU_02.png,966.3299999761512,962.4839999999967,966.3299999761512,966.3299999761512,962.4839999999967,966.3299999761512,0,966.3299999761512,0,0,,Click Response,ResponseB,4,object-85,Testing,,3, ,GOI,_,KE,SNUR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_SNUR_BLOT.png,GOI_KE_SNUR_TA_02.png,GOI_KE_SNUR_TU_02.png,,GOI_KE_SNUR_TA_02.png,,,
17,1685031005325,25/05/2023 16:10:05,1685034605325,1,25/05/2023 18:10:05,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,15,Testing,Testing,hvzr65,1,response,PAU_KE_STOO_TI_02.png,698.9459999999963,695.8269999999902,698.9459999999963,698.9459999999963,695.8269999999902,698.9459999999963,0,698.9459999999963,0,0,,Click Response,ResponseA,3,object-86,Testing,,3, ,PAU,_,KE,STOO,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_STOO_BLOT.png,PAU_KE_STOO_TI_02.png,PAU_KE_STOO_TA_02.png,,PAU_KE_STOO_TA_02.png,,,
18,1685031006562,25/05/2023 16:10:06,1685034606562,1,25/05/2023 18:10:06,128616,14,task-6umo,,29725890,595eaf865708720001aafc7d,8844168,,complete,,646f94372f2019b9441d0033,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,16,Testing,Testing,hvzr65,1,response,PAU_KO_PHAI_TU_02.png,1239.619000000006,1237.5290000000095,1239.619000000006,1239.619000000006,1237.5290000000095,1239.619000000006,0,1239.619000000006,0,0,,Click Response,ResponseA,3,object-86,Testing,,3, ,PAU,_,KO,PHAI,,_02.png,_BLOT.png,,,,,,,,,,PAU_KO_PHAI_BLOT.png,PAU_KO_PHAI_TU_02.png,PAU_KO_PHAI_TI_02.png,,PAU_KO_PHAI_TI_02.png,,,
