Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1685177325209,27/05/2023 08:48:45,1685180925209,1,27/05/2023 10:48:45,128616,14,task-58je,,29751925,5e9838342f9c6001611f9b50,8853950,,complete,,6471cff3b1de7b03dfbc2497,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1304x697,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177327547,27/05/2023 08:48:47,1685180927547,1,27/05/2023 10:48:47,128616,14,task-58je,,29751925,5e9838342f9c6001611f9b50,8853950,,complete,,6471cff3b1de7b03dfbc2497,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1304x697,,End Screen,2,Singular-Dual,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2343.7689997138978,2333.651,2343.7689997138978,2343.7689997138978,2333.651,2343.7689997138978,1,2343.7689997138978,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177327548,27/05/2023 08:48:47,1685180927548,1,27/05/2023 10:48:47,128616,14,task-58je,,29751925,5e9838342f9c6001611f9b50,8853950,,complete,,6471cff3b1de7b03dfbc2497,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1304x697,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177327384,27/05/2023 08:48:47,1685180927384,1,27/05/2023 10:48:47,128616,14,task-58je,,29751926,6400d91130c52020eabfd504,8853941,,complete,,6471cfd0fdb97f413143dcd4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1680x1050,1680x939,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177354593,27/05/2023 08:49:14,1685180954593,1,27/05/2023 10:49:14,128616,14,task-58je,,29751926,6400d91130c52020eabfd504,8853941,,complete,,6471cfd0fdb97f413143dcd4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1680x1050,1680x939,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,27224.859000011922,27217.528000000002,27224.859000011922,27224.859000011922,27217.528000000002,27224.859000011922,1,27224.859000011922,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177354597,27/05/2023 08:49:14,1685180954597,1,27/05/2023 10:49:14,128616,14,task-58je,,29751926,6400d91130c52020eabfd504,8853941,,complete,,6471cfd0fdb97f413143dcd4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1680x1050,1680x939,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177332977,27/05/2023 08:48:52,1685180932977,1,27/05/2023 10:48:52,128616,14,task-58je,,29751929,63469dea28db787106cf354c,8853927,,complete,,6471cf1009178fcff020000f,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x975,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177334970,27/05/2023 08:48:54,1685180934970,1,27/05/2023 10:48:54,128616,14,task-58je,,29751929,63469dea28db787106cf354c,8853927,,complete,,6471cf1009178fcff020000f,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x975,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2005.216,1999.9229999999998,2005.216,2005.216,1999.9229999999998,2005.216,1,2005.216,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177334971,27/05/2023 08:48:54,1685180934971,1,27/05/2023 10:48:54,128616,14,task-58je,,29751929,63469dea28db787106cf354c,8853927,,complete,,6471cf1009178fcff020000f,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x975,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177486687,27/05/2023 08:51:26,1685181086687,1,27/05/2023 10:51:26,128616,14,task-58je,,29751993,60a0067f943f8d336ec80fa1,8853943,,complete,,6471cfd54803c728361f3d92,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
