Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
21,1685030474224,25/05/2023 16:01:14,1685034074224,1,25/05/2023 18:01:14,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,18,Training,Training,34efq7,1,response,GOIKO SNURTA!,1482.1630000000005,6327.907999999996,6334.753000071534,1482.1630000000005,6327.907999999996,6334.753000071534,1,1482.1630000000005,4852.590000071534,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KO,SNUR,_01.png,_02.png,,,,,,,,GOI_KO_SNUR_TA_01.png,GOI_KO_SNUR_TA_02.png,GOIKO SNURTA!,,,,,,,,,
22,1685030481189,25/05/2023 16:01:21,1685034081189,1,25/05/2023 18:01:21,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,19,Training,Training,34efq7,1,response,PAUKE SNURTU!,1515.506000000023,6961.185000000027,6971.2450000476965,1515.506000000023,6961.185000000027,6971.2450000476965,1,1515.506000000023,5455.7390000476735,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KE,SNUR,_01.png,_02.png,,,,,,,,PAU_KE_SNUR_TU_01.png,PAU_KE_SNUR_TU_02.png,PAUKE SNURTU!,,,,,,,,,
23,1685030486246,25/05/2023 16:01:26,1685034086246,1,25/05/2023 18:01:26,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,20,Training,Training,34efq7,1,response,GOIKO DREETA!,1498.5629999999946,5062.332999999984,5067.660000071512,1498.5629999999946,5062.332999999984,5067.660000071512,1,1498.5629999999946,3569.097000071517,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,GOI,_,KO,DREE,_01.png,_02.png,,,,,,,,GOI_KO_DREE_TA_01.png,GOI_KO_DREE_TA_02.png,GOIKO DREETA!,,,,,,,,,
24,1685030491424,25/05/2023 16:01:31,1685034091424,1,25/05/2023 18:01:31,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,21,Training,Training,34efq7,1,response,GOIKE PHAITI!,1515.6749999999884,5162.659000000014,5179.60500000004,1515.6749999999884,5162.659000000014,5179.60500000004,1,1515.6749999999884,3663.930000000051,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,GOI,_,KE,PHAI,_01.png,_02.png,,,,,,,,GOI_KE_PHAI_TI_01.png,GOI_KE_PHAI_TI_02.png,GOIKE PHAITI!,,,,,,,,,
25,1685030496328,25/05/2023 16:01:36,1685034096328,1,25/05/2023 18:01:36,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,22,Training,Training,34efq7,1,response,PAUKO STOOTA!,1298.6349999999802,4912.253999999986,4928.668000071513,1298.6349999999802,4912.253999999986,4928.668000071513,1,1298.6349999999802,3630.033000071533,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KO,STOO,_01.png,_02.png,,,,,,,,PAU_KO_STOO_TA_01.png,PAU_KO_STOO_TA_02.png,PAUKO STOOTA!,,,,,,,,,
26,1685030501263,25/05/2023 16:01:41,1685034101263,1,25/05/2023 18:01:41,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,23,Training,Training,34efq7,1,response,PAUKE BLARTI!,1565.399000000005,4929.526000000013,4946.21100000001,1565.399000000005,4929.526000000013,4946.21100000001,1,1565.399000000005,3380.8120000000054,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KE,BLAR,_01.png,_02.png,,,,,,,,PAU_KE_BLAR_TI_01.png,PAU_KE_BLAR_TI_02.png,PAUKE BLARTI!,,,,,,,,,
27,1685030507768,25/05/2023 16:01:47,1685034107768,1,25/05/2023 18:01:47,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,24,Training,Training,34efq7,1,response,GOIKE CHORTU!,1765.301999999996,6511.0809999999765,6527.2880000476725,1765.301999999996,6511.0809999999765,6527.2880000476725,1,1765.301999999996,4761.9860000476765,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,GOI,_,KE,CHOR,_01.png,_02.png,,,,,,,,GOI_KE_CHOR_TU_01.png,GOI_KE_CHOR_TU_02.png,GOIKE CHORTU!,,,,,,,,,
28,1685030512842,25/05/2023 16:01:52,1685034112842,1,25/05/2023 18:01:52,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,25,Training,Training,34efq7,1,response,PAUKE PHAITU!,1299.2229999999981,5079.452000000019,5090.40700009538,1299.2229999999981,5079.452000000019,5090.40700009538,1,1299.2229999999981,3791.1840000953816,0,,Single Text Entry,TextTraining02,4,object-97,Training,,5, ,PAU,_,KE,PHAI,_01.png,_02.png,,,,,,,,PAU_KE_PHAI_TU_01.png,PAU_KE_PHAI_TU_02.png,PAUKE PHAITU!,,,,,,,,,
29,1685030517064,25/05/2023 16:01:57,1685034117064,1,25/05/2023 18:01:57,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,26,Training,Training,34efq7,1,response,GOIKE BLARTU!,1465.5199999999895,4229.497999999992,4232.95500009536,1465.5199999999895,4229.497999999992,4232.95500009536,1,1465.5199999999895,2767.435000095371,0,,Single Text Entry,TextTraining02,4,object-97,Training,,5, ,GOI,_,KE,BLAR,_01.png,_02.png,,,,,,,,GOI_KE_BLAR_TU_01.png,GOI_KE_BLAR_TU_02.png,GOIKE BLARTU!,,,,,,,,,
30,1685030521494,25/05/2023 16:02:01,1685034121494,1,25/05/2023 18:02:01,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,27,Training,Training,34efq7,1,response,PAUKE DREETI!,1149.1639999999898,4429.790999999997,4433.357000071526,1149.1639999999898,4429.790999999997,4433.357000071526,1,1149.1639999999898,3284.1930000715365,0,,Single Text Entry,TextTraining02,4,object-97,Training,,5, ,PAU,_,KE,DREE,_01.png,_02.png,,,,,,,,PAU_KE_DREE_TI_01.png,PAU_KE_DREE_TI_02.png,PAUKE DREETI!,,,,,,,,,
